功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
,,0940,,FrequencyDerateConfig,U16,,,,,RW,"Bit0：过频输出降载使能
Bit1：欠频输入降载使能
Bit2：过频回载使能
Bit3：欠频回载使能
Bit4：过频从额定功率开始降载使能
Bit5：当前功率计算降载斜率使能
Bit6：储能分段曲线使能
Bit7：最大功率计算使能
Bit8:  欠频从额定功率开始降载使能
Bit12-13：降载模式（0斜率模式/1频率范围模式）                                                 注：225kw光伏机型不支持储能分段曲线使能和最大功率计算使能功能。                       注：225kw机型从额定功率开始降载使能和当前功率计算降载斜率使能此界面未能体现  注：此参数界面区分为了光伏和储能两大界面注：使能为置1为开，置0为关                                                                                             ","Bit0: Overclocked output down load enable
Bit1: Underclocked input down load enable
Bit2: Overclock back enable
Bit3: Underfrequency return enable
Bit4: Overfrequency down load enable from rated power
Bit5: Current power calculation ramp down enable
Bit6: Energy storage segmentation curve enable
Bit7: Maximum power calculation enable
Bit8: Underfrequency download from rated power enable
Bit12-13: Load down mode (0 slope mode/1 frequency range mode) Note: 225kw PV models do not support the energy storage segmentation curve enable and maximum power calculation enable functions.                       Note: The 225kw model does not support the load shedding enable from the rated power and the current power calculation load shedding ramp enable in this interface Note: This parameter interface area is divided into two interfaces, PV and energy storage Note: Enable is set to 1 for on, set to 0 for off ",Installers,,,,,,,"过频输出降载使能控制着降载模式（0斜率模式/1频率范围模式），0斜率模式控制着过频降载（起始频率/斜率百分比/启动等待时间），1频率范围模式控制着过频降载（起始频率/截止频率/启动等待时间）。  
欠频输入降载使能控制着欠频降载起始频率/截止频率/斜率百分比/启动等待时间。                  过频回载使能控制着过频回载等待时间/过频降载回载频率/过频回载截速率百分比。                  欠频回载使能控制着欠频回载等待时间/欠频降载回载频率/欠频回载截速率百分比和退出降载最高/低频率只有使能位打开，对应寄存器的功能才能体现。","The overfrequency output down load enable controls the down load mode (0 slope mode/1 frequency range mode), the 0 slope mode controls the overfrequency down load (start frequency/slope percentage/start wait time) and the 1 frequency range mode controls the overfrequency down load (start frequency/cutoff frequency/start wait time).  
The underfrequency input load-down enable controls the underfrequency load-down start frequency/cut-off frequency/slope percentage/start-up wait time.                  The overfrequency return enable controls the overfrequency return wait time/overfrequency dropback frequency/overfrequency return cut-off rate percentage.                  The underfrequency return enable controls the underfrequency return wait time/underfrequency down load return frequency/underfrequency return cut-off rate percentage and the exit dropout maximum/low frequency only if the enable bit is turned on, the function of the corresponding register can be reflected."
,,0941,,OverfrequencyStart,U16,0.01,Hz,4000,7000,RW,过频降载起始频率,Overfrequency load shedding starting frequency,Installers,,,,,,,,
,,0942,,OverfrequencyEnd,U16,0.01,Hz,4000,7000,RW,过频降载截止频率。频率范围模式有效,Over-frequency load shedding cut-off frequency. Valid in frequency range mode,Installers,,,,,,,,
,,0943,,OverfrequencySlope,U16,1,%Pn/Hz,1,300,RW,"过频降载斜率百分比。斜率模式有效
德标slope=1/(s*fn)"," Overfrequency ramp down percentage. Slope mode valid
DeMarker slope=1/(s*fn)",Installers,,,,,,,,
,,0944,,OverfrequencyResponseDelay,U16,10,ms,0,65535,RW,过频降载启动等待时间,Overfrequency download start wait time,Installers,,,,,,,,
,,0945,,OverfrequencyReloadDelay,U16,10,ms,0,65535,RW,过频回载前等待时间,Waiting time before overfrequency loadback,Installers,,,,,,,,
,,0946,,OverfrequencyReloadStart,U16,0.01,Hz,4000,7000,RW,过频降载回载频率。禁止过频回载时生效。,Overfrequency down load return frequency. Effective when overfrequency reload is disabled.,Installers,,,,,,,,
,,0947,,OverfrequencyReloadSpeed,U16,1,%Pn/min,1,300,RW,过频回载速率百分比,Percentage of overfrequency reload rate,Installers,,,,,,,,
,,0948,,UnderfrequencyStart,U16,0.01,Hz,4000,7000,RW,欠频降载起始频率,Under frequency down load start frequency,Installers,,,,,,,,
,,0949,,UnderfrequencyEnd,U16,0.01,Hz,4000,7000,RW,欠频降载截止频率。频率范围模式有效,Underclocking cut-off frequency. Valid for frequency range mode,Installers,,,,,,,,
,,094A,,UnderfrequencySlope,U16,1,%Pn/Hz,1,300,RW,欠频降载斜率百分比。斜率模式有效,Underfrequency derate slope percentage. Ramp mode is valid,Installers,,,,,,,,
,,094B,,UnderfrequencyResponseDelay,U16,10,ms,0,65535,RW,欠频降载启动等待时间,Undervoltage download start wait time,Installers,,,,,,,,
,,094C,,UnderfrequencyReloadDelay,U16,10,ms,0,65535,RW,欠频回载前等待时间,Waiting time before underload.,Installers,,,,,,,,
,,094D,,UnderfrequencyReloadStart,U16,0.01,Hz,4000,7000,RW,欠频降载回载频率。禁止欠频回载时生效。,Under frequency down load return frequency. Effective when under-frequency reload is disabled.,Installers,,,,,,,,
,,094E,,UnderfrequencyReloadSpeed,U16,1,%Pn/min,1,300,RW,欠频回载速率百分比,Underfrequency reload rate percentage,Installers,,,,,,,,
,,094F,,FrequencyRecoverMax,U16,0.01,Hz,4000,7000,RW,退出降载最高频率。过欠频共用。允许过频回载时生效,Maximum frequency to exit the underload. Over-under frequency sharing. Effective when overfrequency loadback is allowed,Installers,,,,,,,,
,,0950,,FrequencyRecoverMin,U16,0.01,Hz,4000,7000,RW,退出降载最低频率。过欠频共用。允许欠频回载时生效,Exits the lowest frequency of the dropout. Shared over-under frequency. Effective when underload is allowed,Installers,,,,,,,,
,,0951,,ESSOverFrequencyStart,U16,0.01,Hz,4000,7000,RW,（储能）过频降载起始频率,(Energy storage) Overload start frequency,Installers,,,,,,,,
,,0952,,ESSOverfrequencyEnd,U16,0.01,Hz,4000,7000,RW,（储能）过频降载截止频率。频率范围模式有效,(Energy storage) Overdrive cut-off frequency. Valid in frequency range mode,,,,,,,,,
,,0953,,ESSOverFrequencySlope,U16,1,%Pn/Hz,1,300,RW,"（储能）过频降载斜率百分比。斜率模式有效
德标slope=1/(s*fn)","(Energy Storage) Overfrequency Derate Ramp Percentage. Slope mode valid
German Standard slope=1/(s*fn)",Installers,,,,,,,,
,,0954,,ESSOverFrequencyResponseDelay,U16,10,ms,0,65535,RW,（储能）过频降载启动等待时间,(Energy storage) Overfrequency download start-up waiting time,Installers,,,,,,,,
,,0955,,ESSOverFrequencyReloadDelay,U16,10,ms,0,65535,RW,（储能）过频回载前等待时间,(Energy storage) Waiting time before overfrequency return to load,Installers,,,,,,,,
,,0956,,ESSOverfrequencyReloadStart,U16,0.01,Hz,4000,7000,RW,（储能）过频降载回载频率。禁止过频回载时生效。,(energy storage) Overfrequency down load return frequency. Effective when overfrequency backload is disabled.,Installers,,,,,,,,
,,0957,,ESSOverFrequencyReloadSpeed,U16,1,%Pn/min,1,300,RW,（储能）过频回载速率百分比,(Energy storage) Percentage of overload rate,Installers,,,,,,,,
,,0958,,ESSUnderFrequencyStart,U16,0.01,Hz,4000,7000,RW,（储能）欠频降载起始频率,(Energy storage) Underfrequency down load start frequency,Installers,,,,,,,,
,,0959,,ESSUnderfrequencyEnd,U16,0.01,Hz,4000,7000,RW,（储能）欠频降载截止频率。频率范围模式有效,(ENERGY STORAGE) Underfrequency derate cut-off frequency. Valid in frequency range mode,,,,,,,,,
,,095A,,ESSUnderFrequencySlope,U16,1,%Pn/Hz,1,300,RW,（储能）欠频降载斜率百分比。斜率模式有效,(Energy storage) Underfrequency derate slope percentage. Ramp mode valid,Installers,,,,,,,,
,,095B,,ESSUnderFrequencyResponseDelay,U16,10,ms,0,65535,RW,（储能）欠频降载启动等待时间,(Energy storage) Underfrequency load shedding start wait time,Installers,,,,,,,,
,,095C,,ESSUnderFrequencyReloadDelay,U16,10,ms,0,65535,RW,（储能）欠频回载前等待时间,(Energy storage) Waiting time before underfrequency load return,Installers,,,,,,,,
,,095D,,ESSUnderfrequencyReloadStart,U16,0.01,Hz,4000,7000,RW,（储能）欠频降载回载频率。禁止欠频回载时生效。,(Energy storage) Underfrequency load return frequency. Effective when underfrequency reload is disabled.,Installers,,,,,,,,
,,095E,,ESSUnderFrequencyReloadSpeed,U16,1,%Pn/min,1,300,RW,（储能）欠频回载速率百分比,(Energy storage) Underfrequency reload rate percentage,Installers,,,,,,,,
,,095F,,ESSFrequencyRecoverMax,U16,0.01,Hz,4000,7000,RW,（储能）退出降载最高频率。过欠频共用,(Energy Storage) Maximum frequency to exit the load shedding. Over Underfrequency Common,Installers,,,,,,,,
,,0960,,ESSFrequencyRecoverMin,U16,0.01,Hz,4000,7000,RW,（储能）退出降载最低频率。过欠频共用,(Energy storage) Exit the lowest frequency of the load shedding. Over and under frequency sharing,Installers,,,,,,,,
,,0961,,ESSOverFrequencyTransition,U16,0.01,Hz,4000,7000,RW,（储能）过频降载功率穿越频率点。使能0940 Bit6时有效。,(energy storage) Overdrive power crossing frequency point. Valid when 0940 Bit6 is enabled.,Installers,,,,,,,,
,,0962,,ESSUnderFrequencyTransition,U16,0.01,Hz,4000,7000,RW,（储能）欠频降载功率穿越频率点。使能0940 Bit6时有效。,(energy storage) Underfrequency power down crossing frequency point. Valid when 0940 Bit6 is enabled.,Installers,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3.7Reactive power parameters(0x0980-0x09BF),,,,,,,,,,,,,,,,,,,,,
,,0980,,ReactiveConfig,U16,,,,,RW,"Bit0：无功使能
Bit1-3：无功模式
Bit8：无功模式三电压进入使能位
Bit9：充电无功使能
Bit10：无功模式四奥地利使能位                 注：无功模式bit1-3控制着六种无功模式                                                      注：对应的无功模式下控制对应的功能，具体情况如下寄存器功能描述                               注：使能为置1为开，置0为关                                                                                                                                                                         ","Bit0: Reactive enable
Bit1-3: Reactive mode
Bit8: Reactive mode three-voltage entry enable bit
Bit9: Charge reactive enable
Bit10: Reactive mode four Austrian enable bit Note: Reactive mode bits1-3 control the six reactive modes Note: The corresponding functions are controlled in the corresponding reactive modes, as described in the following register functions Note: Enable is set to 1 for on, set to 0 for off ",Installers,,,,,,,不同模式下控制着不同功能寄存器，每个无功模式都有一个使能位，只有对应的无功模式使能位打开才能控制其中功能寄存器。,"Different modes control different function registers. Each reactive mode has an enable bit, and only the corresponding reactive mode enable bit is turned on to control one of the function registers."
,,0981,,PowerFactor,I16,0.0001,,-10000,10000,RW,"功率因数，用于无功模式一计算Tanphi。
正值代表提供感性欠激励无功，逆变器输出电流超前电网电压；
负值代表提供容性过激励无功，逆变器输出电流滞后电网电压；","Power factor for reactive mode one to calculate Tanphi.
Positive values represent the provision of inductive under-stimulated reactive power, with the inverter output current overriding the grid voltage;
A negative value means that capacitive over-excitation reactive power is provided and the inverter output current lags behind the grid voltage; ",Installers,,,,,,,,
,,0982,,FixedReactivePercentage,I16,0.01,%,-6000,6000,RW,"固定无功功率百分比，用于无功模式二计算无功量。
正值代表提供感性欠激励无功，逆变器输出电流超前电网电压；
负值代表提供容性过激励无功，逆变器输出电流滞后电网电压；","Fixed reactive power percentage for reactive mode II calculation of reactive power.
positive values represent the supply of inductive under-excitation reactive power and the inverter output current overruns the grid voltage;
A negative value means that capacitive over-excitation reactive power is provided and the inverter output current lags behind the grid voltage;",Installers,,,,,,,,
,,0983,,ReactiveCos1,I16,0.0001,,-10000,10000,RW,"用于无功模式三，第一点功率因数值。
正值代表提供感性欠激励无功，逆变器输出电流超前电网电压；
负值代表提供容性过激励无功，逆变器输出电流滞后电网电压；"," is used for reactive mode III, the first point power factor value.
positive values represent the supply of inductive under-excitation reactive power and the inverter output current overruns the grid voltage;
A negative value means that capacitive over-excitation reactive power is supplied and the inverter output current lags behind the grid voltage;",Installers,,,,,,,,
,,0984,,ReactivedynamicValue1,I16,1,%,-100,100,RW,用于无功模式三，第一点功率百分比,"for reactive mode III, first point power percentage",Installers,,,,,,,,
,,0985,,ReactiveCos2,I16,0.0001,,-10000,10000,RW,用于无功模式三，第二点功率因数值,"for reactive mode III, second point power factor value",Installers,,,,,,,,
,,0986,,ReactivedynamicValue2,I16,1,%,-100,100,RW,用于无功模式三，第二点功率百分比,"for reactive mode III, second point power percentage",Installers,,,,,,,,
,,0987,,ReactiveCos3,I16,0.0001,,-10000,10000,RW,用于无功模式三，第三点功率因数值,"for reactive mode III, third point power factor value",Installers,,,,,,,,
,,0988,,ReactivedynamicValue3,I16,1,%,-100,100,RW,用于无功模式三，第三点功率百分比,"for reactive mode III, third point power percentage",Installers,,,,,,,,
,,0989,,ReactiveCos4,I16,0.0001,,-10000,10000,RW,用于无功模式三，第四点功率因数值,"for reactive mode III, fourth power factor point",Installers,,,,,,,,
,,098A,,ReactivedynamicValue4,I16,1,%,-100,100,RW,用于无功模式三，第四点功率百分比,"for reactive mode III, fourth power point percentage",Installers,,,,,,,,
,,098B,,LockinV,U16,1,%,0,200,RW,用于无功模式三，LockinV电压数值百分比,"for reactive mode III, percentage of LockinV voltage value",Installers,,,,,,,,
,,098C,,LockoutV,U16,1,%,0,200,RW,用于无功模式三，LockoutV电压数值百分比,"for reactive mode III, percentage of voltage value LockoutV",Installers,,,,,,,,
